StrengthHub Online | Onboarding to Program
The onboarding wizard the user completes, and exactly how each answer drives the workout generator. Read this first: it is the entry point to the whole workbook. Every 'feeds' reference points to another sheet in this file. Mappings are deterministic lookups in code, never inferred at generation time, so identical answers always produce identical programs.

Step	Question (as shown to user)	Answer options	Default	What the coach does with it	Feeds (sheet)
0	Welcome	(no input) 'A few quick questions and your coach will build training around you.'	-	Nothing. Intro screen.	-
1	Name	free text	required	Stored for tone and greetings only.	Onboarding Contract
1	Date of birth	date picker	required, no default	Computes age and chooses the SCREENING PATHWAY. 18+ adult screen; 16-17 young-person path + guardian consent; under 16 blocked. Age is never defaulted.	Age Routing
1	Sex	Male / Female / Other	none	Nutrition calorie accuracy only. No effect on training.	Onboarding Contract
2	Height	ruler	175 cm	Nutrition only.	Onboarding Contract
2	Current weight	dial	75 kg	Nutrition, plus a sanity check on starting loads.	Onboarding Contract
2	Goal weight	dial	78 kg	Nutrition only.	Onboarding Contract
3	Main goal	Build muscle / Lose fat / Get stronger / Stay healthy	Build muscle	Sets the canonical goal: Build muscle=Hypertrophy, Lose fat=Fat Loss, Get stronger=Strength, Stay healthy=General Fitness. Drives which split, how much volume, and every set/rep/rest prescription.	Split Selector, Weekly Volume, Prescription Logic
3	Anywhere you especially want to grow? (pick up to 2)	Chest/Back/Shoulders/Arms/Legs/Glutes/Core/Abs	skip	Focal points. Adds 3-4 weekly sets to each chosen muscle (cap 20), taken from the lowest-priority muscle. Can unlock a Focus day on 5-day splits.	Weekly Volume, Session Templates
4	Experience	Beginner (under ~6 months consistent training, or returning after a long break) / Intermediate (~6 months to 3 years, comfortable with the main lifts) / Advanced (2+ years consistent, confident technique, has run structured progression)	Beginner	Gates split choice, volume targets and which exercises are allowed (Advanced lifts are locked to Advanced users).	Split Selector, Weekly Volume, Safety Rules
4	(if Int/Adv) Have you followed a structured program before?	Yes / No	-	If No: the first block runs one level more conservative (higher RIR, no Advanced lifts) even though the chosen level is stored. Eases them in, then ramps.	Safety Rules P01
5	Which days can you train? (gym / lifting days only — sport goes in the activity question)	weekday multi-select	Mon/Wed/Fri/Sat	The actual gym weekdays, not a count and not counting outside sport. The count picks the split; the specific days let the scheduler place sessions and rest days. These days are editable later: a user can move or swap a day and the scheduler re-plans without losing progress (see Claude Code note CC01).	Split Selector, Schedule Rules
5	How long per session?	30 / 45 / 60 / 75 min	60 min	Sets the session budget: how many exercises and working sets fit. Short sessions drop optional slots first.	Session Templates
5	Do you usually train alone?	Always / Usually / Sometimes / Never	-	If Always/Usually: exercises that want a spotter (barbell bench, back squat) are either swapped or given a safe-setup cue. This is what makes the spotter rule work.	Safety Rules S09
6	Equipment	Full Gym / Home Basics / Bodyweight	Full Gym	The coarse equipment tier. Filters out exercises the user cannot possibly do.	Exercise Database
6	(if not Full Gym) Got any of these?	Barbell + plates / Squat rack / Pull-up bar / Bench or sturdy chair / Kettlebell / Resistance bands / Sliders or a towel	none	Adds exact equipment tags on top of the tier. Barbell and squat rack are tickable extras, not assumed for Home Basics. 'Sliders or a towel' means discs or a folded towel under the feet for exercises like hamstring curls. One resistance band alone unlocks a large part of the library.	Exercise Database
7	Anything we should train around?	None / Lower back / Neck / Shoulders / Elbows / Wrists / Hips / Knees / Ankles / Achilles or calf / Feet	None	Each chip maps to a body REGION. Every exercise is tagged with the regions it loads (Stress Regions), so a region is enough to protect the user — the exact diagnosis is not needed. An Achilles flag maps to the ankle/calf region and pulls out jumping and high-impact conditioning. Free text is removed here; anything unusual or medical belongs in the safety check, which routes to clearance.	Injury Modifications, Screening Outcomes
7	Anything else we should know?	free text	empty	Scanned by the coach for health red-flags (cardiac, neurological, pregnancy, 'my doctor said...'). If any are found, it routes to the screening/clearance path (S05), it does not just store the note. Never a substitute for the safety check. See Coach AI Operating Rules and Screening Outcomes.	Onboarding Contract
8	Do you play sport / active outside the gym?	None / Basketball / Football / Running / Tennis / Swimming / Cycling / Dance / Martial arts / Rock climbing / Gym classes / Walking or hiking / Rowing / Yoga or Pilates / Golf / Skating / Surfing / Active job / Other	None	Counts as training the body already pays for. Cuts overlapping muscle volume, removes conditioning slots, keeps leg days away from leg-heavy sport days. Pulled into the workout generator (Claude Code note CC03). The whole step is optional and skippable, can be added later in-app (CC04).	External Commitments, Schedule Rules
8	(if any) Which days, and how hard?	weekday chips + Easy/Moderate/Hard	-	The day drives scheduling adjacency; the intensity scales how much volume is cut and whether the next day runs easier.	External Commitments, Schedule Rules
9	Any exercises you love? / Anything you'd rather never do?	free text or search	skip	Favourites are weighted up when a slot allows; no-gos seed the exclusion list so they are never programmed. Optional; can be set later in-app.	Exercise Swaps, Data Schemas
10	What's driving you?	free text (placeholders: look better, summer body, get fitter, better routine)	empty	Tone and motivational framing only. No effect on the program structure.	Onboarding Contract
11	QUICK SAFETY CHECK  —  final step, gates whether any program is generated (Safety Rule S05)
11	1. Doctor ever said you have a heart condition, or to only exercise under supervision?
11	2. Do you feel chest pain during physical activity?	Yes / No	-	Yes on 1-4, 6 or 7 -> REQUIRE PROFESSIONAL CLEARANCE: no program generates, user directed to a GP/physio, generation unlocks only after clearance. Chest pain at rest -> DO NOT GENERATE.	Screening Outcomes, Age Routing
11	3. In the past month, chest pain when NOT active?	Yes / No	-	Yes on 1-4, 6 or 7 -> REQUIRE PROFESSIONAL CLEARANCE: no program generates, user directed to a GP/physio, generation unlocks only after clearance. Chest pain at rest -> DO NOT GENERATE.	Screening Outcomes, Age Routing
11	4. Do you lose balance from dizziness, or ever lose consciousness?	Yes / No	-	Yes on 1-4, 6 or 7 -> REQUIRE PROFESSIONAL CLEARANCE: no program generates, user directed to a GP/physio, generation unlocks only after clearance. Chest pain at rest -> DO NOT GENERATE.	Screening Outcomes, Age Routing
11	5. A bone, joint or soft-tissue problem that exercise could worsen?	Yes / No	-	Yes -> triggers the joint follow-ups. Follow-ups decide: minor -> MODIFY_AND_CONTINUE with that region's rules; painful/treated/restricted/active -> professional clearance.	Screening Outcomes, Age Routing
11	6. Currently pregnant, or given birth in the past 6 months?	Yes / No	-	Yes on 1-4, 6 or 7 -> REQUIRE PROFESSIONAL CLEARANCE: no program generates, user directed to a GP/physio, generation unlocks only after clearance. Chest pain at rest -> DO NOT GENERATE.	Screening Outcomes, Age Routing
11	7. Any other reason you shouldn't do physical activity?	Yes / No	-	Yes on 1-4, 6 or 7 -> REQUIRE PROFESSIONAL CLEARANCE: no program generates, user directed to a GP/physio, generation unlocks only after clearance. Chest pain at rest -> DO NOT GENERATE.	Screening Outcomes, Age Routing
11	Follow-ups (only if Q5 Yes or an injury flagged): painful now? / under treatment? / exercise restricted? / resolved or active? / which movements hurt?	per question	-	Any of: painful now, under treatment, restricted, still active -> professional clearance, no program. All mild -> MODIFY_AND_CONTINUE, and 'which movements hurt' is stored as the affected region for exclusion rules.	Screening Outcomes, Injury Modifications
11	Terms of Use acknowledgement	checkbox	must tick	Recorded with the screening result. Sits on top of the real screen, never instead of it.	Data Schemas

After onboarding, the generator runs the 14-step Generator Flow:
Screen -> pick split -> schedule around commitments -> budget weekly volume -> build each session from templates -> prescribe sets/reps/RIR -> set starting loads light -> then continuously: progress from logged performance, swap on request, adapt the calendar, deload, and re-screen. Every runtime change is re-checked against the Safety Rules. See the Generator Flow sheet.