Exam Survival Protocol (planned absence)					
Lets a user declare a future date range (exam block, holiday, travel, placement, life event) AHEAD of time and choose what happens to training. This is the proactive twin of Schedule Rules SCH07: SCH07 reacts to a missed day, this plans for a known one. The user picks one mode when adding the dates. Each mode is a deterministic rule the generator applies to every session inside the range, then automatically restores the normal program after. Progress is protected: no mode below 'full_pause' loses strength, and even full_pause freezes rather than resets. The overriding aim: the user tells the app 'I can't train on these days' and does NOT lose progress or get punished for it.					
mode_id	name	user says	what the generator does	when to use / effect on progress	intent
full_pause	Full pause	'I can't train at all these days'	No sessions scheduled in the range. Program is frozen, not deleted. On return, resume the exact next session that was due, at the same loads. No progression happens during the pause.	Up to 2 weeks loses almost nothing. Beyond ~2 weeks, the return week runs at rir_min +1 and 40 percent fewer sets for one week to ease back in (re-entry ramp), then normal.	maintain
maintenance	Maintenance (lighter)	'Keep me ticking over, but easy'	Replace the normal split with FB2 (two full-body sessions) across whatever days in the range the user can still train. Hold loads, cut sets ~40 percent, raise rir_min by 1. No new progression, no new maxes.	This is the recommended default for an exam block. Two short easy sessions a week fully maintain strength and muscle with minimal time and fatigue.	maintain
minimal_movement	Just keep moving	'No gym, but I don't want to sit still'	No lifting. Schedule a daily low-effort movement prompt instead: a walk (target 20-40 min or a step goal), optional mobility. Logged as activity, not training. Zero fatigue cost, keeps the habit alive.	For users who want the streak and the routine without gym time. Protects adherence, which is the thing most likely to break over exams.	habit
reduced_frequency	Fewer days	'I can only make it once or twice'	Keep the current split's content but compress to the 1 or 2 highest-value sessions per week for the range (prioritise full-body or the user's focal days). Hold loads, normal reps, slightly higher rir_min.	Best when the user can still get to the gym occasionally and wants it to count. Uses the same compression logic as Schedule Rules SCH06.	maintain
active_rest	Planned deload	'Use this as a break'	Treat the range as a scheduled deload (Safety Rule F01): cut sets 40 percent, hold load, raise rir_min by 1, for up to one week. If the range is longer than a week, the remainder becomes full_pause.	Turns an unavoidable gap into a productive recovery block. Often the user comes back stronger.	recover
no_change	Keep it as is	'Just letting you know, don't change anything'	No program change. The declared days are logged as known-busy so the missed-session logic (SCH07) does not treat them as failures or trigger SCH08 re-scheduling.	For users who will train anyway but want the app to stop nagging about 'missed' days.	none
Range handling and restore					
- Declared as a date range with a mode. Multiple ranges can be stored (e.g. two exam blocks and a holiday). Overlapping ranges take the more conservative mode.					
- During the range, all other rules still apply: HARD_SAFETY rules are never relaxed, screening state is unchanged, and a stop symptom still triggers S06 even in maintenance mode.					
- On the day the range ends, the normal program restores automatically. If the pause was longer than ~2 weeks, a one-week re-entry ramp runs first (rir_min +1, sets cut 40 percent) before full resumption.					
- progression_state is never wiped by an absence. Loads on return are the loads from before the range. Long pauses adjust the first week's intensity, not the stored loads.					
- The declared range suppresses the missed-session penalties (SCH07/SCH08) for those dates, so a planned absence never counts as a failure or forces a schedule re-run.					
- The user can edit or cancel a future range any time before it starts, and can end it early on return.					